from,to,relationship,winstogether
im,ra,1,4
im,tm,1,4
im,rs,1,4
yk03,mk71,1,5
yk03,ck,1,5
ss,tk,1,1
ss,ka,1,1
sg,br,1,1
sg,lb,1,1
as01,ct,1,3
ks,sn,1,6
ks,mg,1,5
ks,mk,1,5
mc,mh59,1,2
mc,hs,1,2
np,ab,1,1
il,yk,1,4
il,oj,1,4
il,sk,1,4
lg,gm,1,1
lg,sc,1,1
lg,lm,1,1
ms04,au,1,1
ms04,ir,1,1
as01,br,1,2
ka97,fb,1,2
ka97,sf,1,2
al,pd,1,2
al,ms,1,2
ag,da,1,1
ag,tg,1,1
as01,rm,1,1
su,sl,1,4
jb94,tw,1,2
jb94,bo,1,1
ck06,hc,1,1
ck06,lb,1,1
ck06,jb,1,1
lh,jh,1,3
kr,jr,1,1
kr,mh69,1,1
jc,hj,1,1
hl,hj,1,1
mm,sn,1,2
mm,mg,1,2
mm,sk95,1,1
mm,mk,1,1
vz,mh59,1,2
vz,tz,1,2
vz,dm85,1,2
mq,et,1,1
mq,sd,1,1
mq,dg,1,1
cp,aj,1,1
cp,ra,1,1
mb,ar,1,1
mb,ra,1,1
yy,tg,1,1
yy,je,1,1
nc,ra,1,3
yh,bo,1,4
yh,gb,1,2
yh,tw,1,4
mk95,am,1,1
mk95,tp,1,1
as,et,1,1
as,sd,1,1
as,dg,1,1
et96,am,1,1
et96,tp,1,1
at04,ep,1,1
at04,dm,1,1
at04,sr,1,1
kc,tg,1,1
lh,ch,1,1
su,my,1,2
su,mh,1,2
bj,xz,1,3
bj,fc,1,3
az,et,1,2
az,sd,1,2
et00,et,1,1
et00,sd,1,1
em,bo,1,1
em,tw,1,1
em,gb,1,1
rk,mh59,1,1
su,xz,1,1
su,fc,1,1
mk95,vc,1,2
ab88,gc,1,1
kt,th,1,1
kt,ys,1,1
ko,rw,1,2
wh,ko57,1,1
wh,ns,1,1
sm,mh59,1,2
sm,yt,1,2
ck,am,1,1
ck,mh69,1,1
jf,bo,1,2
jf,tw,1,2
pc,ms56,1,1
pc,oe,1,1
pc,jj,1,1
em,et,1,2
gd,lb,1,1
gd,bo,1,1
gd,tw,1,1
pc,kj,1,1
aw,ra,1,1
aw,nk,1,1
ap,at,1,1
gg,fc38,1,1
sm,yn,1,1
usa,nc,2,NA
usa,ra,3,NA
jpn,yk03,2,NA
jpn,yh,2,NA
jpn,bo,3,NA
jpn,gb,3,NA
jpn,tw,3,NA
jpn,su,2,NA
jpn,sl,3,NA
rus,mk95,2,NA
rus,am,3,NA
rus,tp,3,NA
rus,as,2,NA
rus,sd,3,NA
rus,dg,3,NA
rus,et,2,NA
rus,at04,2,NA
rus,ep,3,NA
rus,dm,3,NA
rus,sr,3,NA
usa,kc,2,NA
usa,tg,3,NA
bel,lh,2,NA
bel,ch,3,NA
jpn,mk,3,NA
jpn,ck,3,NA
usa,vz,2,NA
usa,tz ,3,NA
geo,mq,2,NA
geo,sd,3,NA
geo,dg,3,NA
usa,cp,2,NA
usa,aj,3,NA
jpn,ks,2,NA
jpn,sn,3,NA
jpn,mg,3,NA
bel,jh,3,NA
usa,al,2,NA
usa,pd,3,NA
usa,mb,2,NA
usa,ar,3,NA
kor,yy,2,NA
kor,tg,3,NA
kor,je,3,NA
kor,jc,2,NA
kor,hc,3,NA
usa,tm,3,NA
usa,rs,3,NA
fra,ka,2,NA
fra,fb,3,NA
fra,sf,3,NA
usa,jb94,2,NA
usa,tw,3,NA
jpn,mk71,3,NA
kor,hl,2,NA
kor,hc,3,NA
usa,jh,3,NA
bel,il,2,NA
bel,oj,3,NA
bel,sk,3,NA
jpn,sk95,3,NA
jpn,ss,2,NA
jpn,tk,3,NA
jpn,ka,3,NA
jpn,mc,2,NA
jpn,mh,3,NA
jpn,hs,3,NA
usa,im,2,NA
usa,il,2,NA
usa,yk,3,NA
usa,sk,3,NA
usa,ag,2,NA
usa,da,3,NA
usa,jb94,2,NA
uzb,tm,3,NA
uzb,rs,3,NA
fra,br,3,NA
fra,as01,2,NA
fra,ct,3,NA
fra,ka,2,NA
fra,fb,3,NA
fra,rm,3,NA
ita,ck,3,NA
ita,lg,2,NA
ita,gm,3,NA
ita,lm,3,NA
ita,ir,3,NA
ita,sf,3,NA
ita,ms,3,NA
can,sg,2,NA
can,lb,3,NA
can,sc,3,NA
can,tw,3,NA
can,bo,3,NA
can,jb,3,NA
rus,au,3,NA
kor,ck06,2,NA
kor,hc,3,NA
bel,np,2,NA
bel,ab,3,NA
sui,sl,3,NA
sui,kr,2,NA
sui,jr,3,NA
kaz,ms04,2,NA
geo,oj,3,NA
deu,mh69,3,NA
can,gb,3,NA
usa,dm85,3,NA
jpn,mh59,3,NA
jpn,my,3,NA
chn,bj,2,NA
chn,xz,3,NA
chn,fc,3,NA
rus,az,2,NA
kaz,et00,2,NA
rus,em,2,NA
jpn,rk,2,NA
rus,vc,3,NA
isr,ab88,2,NA
isr,gc,3,NA
jpn,kt,2,NA
jpn,th,3,NA
jpn,ys,3,NA
can,ko,2,NA
can,rw,3,NA
jpn,wh,2,NA
jpn,ko57,3,NA
jpn,ns,3,NA
jpn,sm,2,NA
jpn,yt,3,NA
spa,jf,2,NA
can,pc,2,NA
rus,ms56,3,NA
rus,oe,3,NA
usa,jj,3,NA
can,gd,2,NA
jpn,mm,2,NA
usa,sn,3,NA
usa,mg,3,NA
can,kj,3,NA
usa,aw,2,NA
rus,nk,3,NA
rus,ap,2,NA
rus,at,3,NA
usa,gg,2,NA
usa,fc38,3,NA
jpn,yn,3,NA
